Name,District,Type,Description,SchoolYear
HARMONY SCIENCE ACADEMY - BROWNSVI,31803,I,CHARTER SCHOOL DISTRICTS,2010-11
HARMONY SCIENCE ACADEMY - LAREDO,240804,I,CHARTER SCHOOL DISTRICTS,2010-11
HARPER ISD,86902,H,RURAL,2010-11
HARROLD ISD,244901,H,RURAL,2010-11
HART ISD,35902,H,RURAL,2010-11
HARTLEY ISD,103902,H,RURAL,2010-11
HARTS BLUFF ISD,225907,H,RURAL,2010-11
HASKELL CISD,104901,H,RURAL,2010-11
HAWKINS ISD,250902,H,RURAL,2010-11
HAWLEY ISD,127904,H,RURAL,2010-11
HAYS CISD,105906,B,MAJOR SUBURBAN,2010-11
HEARNE ISD,198905,D,OTHER CENTRAL CITY SUBURBAN,2010-11
HEDLEY ISD,65902,H,RURAL,2010-11
HEMPHILL ISD,202903,G,NON-METROPOLITAN STABLE,2010-11
HEMPSTEAD ISD,237902,G,NON-METROPOLITAN STABLE,2010-11
HENDERSON ISD,201902,E,INDEPENDENT TOWN,2010-11
HENRIETTA ISD,39902,D,OTHER CENTRAL CITY SUBURBAN,2010-11
HENRY FORD ACADEMY ALAMEDA SCHOOL,15833,I,CHARTER SCHOOL DISTRICTS,2010-11
HEREFORD ISD,59901,D,OTHER CENTRAL CITY SUBURBAN,2010-11
HERMLEIGH ISD,208901,H,RURAL,2010-11
HICO ISD,97903,H,RURAL,2010-11
HIDALGO ISD,108905,D,OTHER CENTRAL CITY SUBURBAN,2010-11
HIGGINS ISD,148903,H,RURAL,2010-11
HIGGS CARTER KING GIFTED & TALENTE,15803,I,CHARTER SCHOOL DISTRICTS,2010-11
HIGH ISLAND ISD,84903,H,RURAL,2010-11
HIGHLAND ISD,177905,H,RURAL,2010-11
HIGHLAND PARK ISD,57911,B,MAJOR SUBURBAN,2010-11
HIGHLAND PARK ISD,188903,D,OTHER CENTRAL CITY SUBURBAN,2010-11
HILLSBORO ISD,109904,E,INDEPENDENT TOWN,2010-11
HITCHCOCK ISD,84908,F,NON-METROPOLITAN FAST GROWING,2010-11
HOLLAND ISD,14905,H,RURAL,2010-11
HOLLIDAY ISD,5902,D,OTHER CENTRAL CITY SUBURBAN,2010-11
HONDO ISD,163904,E,INDEPENDENT TOWN,2010-11
HONEY GROVE ISD,74907,H,RURAL,2010-11
HONORS ACADEMY,57825,I,CHARTER SCHOOL DISTRICTS,2010-11
HOOKS ISD,19902,G,NON-METROPOLITAN STABLE,2010-11
HOUSTON ALTERNATIVE PREPARATORY CH,101851,I,CHARTER SCHOOL DISTRICTS,2010-11
HOUSTON CAN ACADEMY CHARTER SCHOOL,101812,I,CHARTER SCHOOL DISTRICTS,2010-11
HOUSTON GATEWAY ACADEMY INC,101828,I,CHARTER SCHOOL DISTRICTS,2010-11
HOUSTON HEIGHTS HIGH SCHOOL,101821,I,CHARTER SCHOOL DISTRICTS,2010-11
HOUSTON HEIGHTS LEARNING ACADEMY I,101829,I,CHARTER SCHOOL DISTRICTS,2010-11
HOUSTON ISD,101912,A,MAJOR URBAN,2010-11
HOWE ISD,91905,D,OTHER CENTRAL CITY SUBURBAN,2010-11
HUBBARD ISD,19913,H,RURAL,2010-11
HUBBARD ISD,109905,H,RURAL,2010-11
HUCKABAY ISD,72908,H,RURAL,2010-11
HUDSON ISD,3902,G,NON-METROPOLITAN STABLE,2010-11
HUFFMAN ISD,101925,G,NON-METROPOLITAN STABLE,2010-11
HUGHES SPRINGS ISD,34903,G,NON-METROPOLITAN STABLE,2010-11
HULL-DAISETTA ISD,146905,H,RURAL,2010-11
HUMBLE ISD,101913,B,MAJOR SUBURBAN,2010-11
HUNT ISD,133902,H,RURAL,2010-11
HUNTINGTON ISD,3904,G,NON-METROPOLITAN STABLE,2010-11
HUNTSVILLE ISD,236902,E,INDEPENDENT TOWN,2010-11
HURST-EULESS-BEDFORD ISD,220916,B,MAJOR SUBURBAN,2010-11
HUTTO ISD,246906,D,OTHER CENTRAL CITY SUBURBAN,2010-11
IDALOU ISD,152910,D,OTHER CENTRAL CITY SUBURBAN,2010-11
IDEA PUBLIC SCHOOLS,108807,I,CHARTER SCHOOL DISTRICTS,2010-11
INDUSTRIAL ISD,120905,G,NON-METROPOLITAN STABLE,2010-11
INGLESIDE ISD,205903,G,NON-METROPOLITAN STABLE,2010-11
INGRAM ISD,133904,G,NON-METROPOLITAN STABLE,2010-11
INSPIRED VISION ACADEMY,57830,I,CHARTER SCHOOL DISTRICTS,2010-11
IOLA ISD,93903,H,RURAL,2010-11
IOWA PARK CISD,243903,D,OTHER CENTRAL CITY SUBURBAN,2010-11
IRA ISD,208903,H,RURAL,2010-11
IRAAN-SHEFFIELD ISD,186903,H,RURAL,2010-11
IREDELL ISD,18906,H,RURAL,2010-11
IRION COUNTY ISD,118902,H,RURAL,2010-11
IRVING ISD,57912,B,MAJOR SUBURBAN,2010-11
ITALY ISD,70907,H,RURAL,2010-11
ITASCA ISD,109907,H,RURAL,2010-11
JACKSBORO ISD,119902,G,NON-METROPOLITAN STABLE,2010-11
JACKSONVILLE ISD,37904,E,INDEPENDENT TOWN,2010-11
JAMIE'S HOUSE CHARTER SCHOOL,101822,I,CHARTER SCHOOL DISTRICTS,2010-11
JARRELL ISD,246907,F,NON-METROPOLITAN FAST GROWING,2010-11
JASPER ISD,121904,E,INDEPENDENT TOWN,2010-11
JAYTON-GIRARD ISD,132902,H,RURAL,2010-11
JEAN MASSIEU ACADEMY,57819,I,CHARTER SCHOOL DISTRICTS,2010-11
JEFFERSON ISD,155901,G,NON-METROPOLITAN STABLE,2010-11
JIM HOGG COUNTY ISD,124901,G,NON-METROPOLITAN STABLE,2010-11
JIM NED CISD,221911,G,NON-METROPOLITAN STABLE,2010-11
JOAQUIN ISD,210902,H,RURAL,2010-11
JOHN H WOOD JR PUBLIC CHARTER DIST,15808,I,CHARTER SCHOOL DISTRICTS,2010-11
JOHNSON CITY ISD,16901,H,RURAL,2010-11
JONESBORO ISD,50909,H,RURAL,2010-11
JOSHUA ISD,126905,D,OTHER CENTRAL CITY SUBURBAN,2010-11
JOURDANTON ISD,7902,G,NON-METROPOLITAN STABLE,2010-11
JUAN B GALAVIZ CHARTER SCHOOL,101852,I,CHARTER SCHOOL DISTRICTS,2010-11
JUBILEE ACADEMIC CENTER,15822,I,CHARTER SCHOOL DISTRICTS,2010-11
JUDSON ISD,15916,B,MAJOR SUBURBAN,2010-11
JUNCTION ISD,134901,H,RURAL,2010-11
KARNACK ISD,102901,H,RURAL,2010-11
KARNES CITY ISD,128901,G,NON-METROPOLITAN STABLE,2010-11
KATHERINE ANNE PORTER SCHOOL,105801,I,CHARTER SCHOOL DISTRICTS,2010-11
KATY ISD,101914,B,MAJOR SUBURBAN,2010-11
KAUFMAN ISD,129903,D,OTHER CENTRAL CITY SUBURBAN,2010-11
KEENE ISD,126906,G,NON-METROPOLITAN STABLE,2010-11
KELLER ISD,220907,B,MAJOR SUBURBAN,2010-11
KELTON ISD,242905,H,RURAL,2010-11
KEMP ISD,129904,D,OTHER CENTRAL CITY SUBURBAN,2010-11
KENEDY COUNTY WIDE CSD,131001,H,RURAL,2010-11
KENEDY ISD,128902,H,RURAL,2010-11
KENNARD ISD,113906,H,RURAL,2010-11
KENNEDALE ISD,220914,B,MAJOR SUBURBAN,2010-11
KERENS ISD,175907,H,RURAL,2010-11
KERMIT ISD,248901,D,OTHER CENTRAL CITY SUBURBAN,2010-11
KERRVILLE ISD,133903,E,INDEPENDENT TOWN,2010-11
KILGORE ISD,92902,D,OTHER CENTRAL CITY SUBURBAN,2010-11
KILLEEN ISD,14906,C,OTHER CENTRAL CITY,2010-11
KINGSVILLE ISD,137901,E,INDEPENDENT TOWN,2010-11
KIPP AUSTIN PUBLIC SCHOOLS INC,227820,I,CHARTER SCHOOL DISTRICTS,2010-11
KIPP INC CHARTER,101813,I,CHARTER SCHOOL DISTRICTS,2010-11
KIPP SAN ANTONIO,15826,I,CHARTER SCHOOL DISTRICTS,2010-11
KIPP SOUTHEAST HOUSTON,101860,I,CHARTER SCHOOL DISTRICTS,2010-11
KIPP TRUTH ACADEMY,57837,I,CHARTER SCHOOL DISTRICTS,2010-11
KIRBYVILLE CISD,121905,G,NON-METROPOLITAN STABLE,2010-11
KLEIN ISD,101915,B,MAJOR SUBURBAN,2010-11
KLONDIKE ISD,58905,H,RURAL,2010-11
KNIPPA ISD,232901,H,RURAL,2010-11
KNOX CITY-O'BRIEN CISD,138902,H,RURAL,2010-11
KOINONIA COMMUNITY LEARNING ACADEM,101863,I,CHARTER SCHOOL DISTRICTS,2010-11
KOPPERL ISD,18907,H,RURAL,2010-11
KOUNTZE ISD,100903,G,NON-METROPOLITAN STABLE,2010-11
KRESS ISD,219905,H,RURAL,2010-11
KRUM ISD,61905,D,OTHER CENTRAL CITY SUBURBAN,2010-11
LA ACADEMIA DE ESTRELLAS,57839,I,CHARTER SCHOOL DISTRICTS,2010-11
LA AMISTAD LOVE & LEARNING ACADEMY,101833,I,CHARTER SCHOOL DISTRICTS,2010-11
LA FE PREPARATORY SCHOOL,71807,I,CHARTER SCHOOL DISTRICTS,2010-11
LA FERIA ISD,31905,G,NON-METROPOLITAN STABLE,2010-11
LA GLORIA ISD,125906,H,RURAL,2010-11
LA GRANGE ISD,75902,G,NON-METROPOLITAN STABLE,2010-11
LA JOYA ISD,108912,C,OTHER CENTRAL CITY,2010-11
LA MARQUE ISD,84904,G,NON-METROPOLITAN STABLE,2010-11
LA PORTE ISD,101916,B,MAJOR SUBURBAN,2010-11
LA PRYOR ISD,254902,H,RURAL,2010-11
LA VEGA ISD,161906,D,OTHER CENTRAL CITY SUBURBAN,2010-11
LA VERNIA ISD,247903,E,INDEPENDENT TOWN,2010-11
LA VILLA ISD,108914,H,RURAL,2010-11
LACKLAND ISD,15913,G,NON-METROPOLITAN STABLE,2010-11
LAGO VISTA ISD,227912,G,NON-METROPOLITAN STABLE,2010-11
LAKE DALLAS ISD,61912,D,OTHER CENTRAL CITY SUBURBAN,2010-11
LAKE TRAVIS ISD,227913,B,MAJOR SUBURBAN,2010-11
LAKE WORTH ISD,220910,B,MAJOR SUBURBAN,2010-11
LAMAR CISD,79901,C,OTHER CENTRAL CITY,2010-11
LAMESA ISD,58906,G,NON-METROPOLITAN STABLE,2010-11
LAMPASAS ISD,141901,D,OTHER CENTRAL CITY SUBURBAN,2010-11
LANCASTER ISD,57913,B,MAJOR SUBURBAN,2010-11
LANEVILLE ISD,201903,H,RURAL,2010-11
LAPOYNOR ISD,107910,H,RURAL,2010-11
LAREDO ISD,240901,D,OTHER CENTRAL CITY SUBURBAN,2010-11
LASARA ISD,245901,F,NON-METROPOLITAN FAST GROWING,2010-11
LATEXO ISD,113905,H,RURAL,2010-11
LAZBUDDIE ISD,185904,H,RURAL,2010-11
LEAKEY ISD,193902,H,RURAL,2010-11
LEANDER ISD,246913,B,MAJOR SUBURBAN,2010-11
LEARY ISD,19914,H,RURAL,2010-11
LEFORS ISD,90902,H,RURAL,2010-11
LEGGETT ISD,187906,H,RURAL,2010-11
LEON ISD,145911,G,NON-METROPOLITAN STABLE,2010-11
LEONARD ISD,74909,G,NON-METROPOLITAN STABLE,2010-11
LEVELLAND ISD,110902,G,NON-METROPOLITAN STABLE,2010-11
LEVERETTS CHAPEL ISD,201904,H,RURAL,2010-11
LEWISVILLE ISD,61902,B,MAJOR SUBURBAN,2010-11
LEXINGTON ISD,144902,G,NON-METROPOLITAN STABLE,2010-11
LIBERTY HILL ISD,246908,D,OTHER CENTRAL CITY SUBURBAN,2010-11
LIBERTY ISD,146906,G,NON-METROPOLITAN STABLE,2010-11
LIBERTY-EYLAU ISD,19908,G,NON-METROPOLITAN STABLE,2010-11
LIFE SCHOOL,57807,I,CHARTER SCHOOL DISTRICTS,2010-11
LIGHTHOUSE CHARTER SCHOOL,15825,I,CHARTER SCHOOL DISTRICTS,2010-11
LINDALE ISD,212903,D,OTHER CENTRAL CITY SUBURBAN,2010-11
LINDEN-KILDARE CISD,34905,H,RURAL,2010-11
LINDSAY ISD,49907,H,RURAL,2010-11
LINGLEVILLE ISD,72909,H,RURAL,2010-11
LIPAN ISD,111902,H,RURAL,2010-11
LITTLE CYPRESS-MAURICEVILLE CISD,181908,E,INDEPENDENT TOWN,2010-11
LITTLE ELM ISD,61914,D,OTHER CENTRAL CITY SUBURBAN,2010-11
LITTLEFIELD ISD,140904,G,NON-METROPOLITAN STABLE,2010-11
LIVINGSTON ISD,187907,E,INDEPENDENT TOWN,2010-11
LLANO ISD,150901,G,NON-METROPOLITAN STABLE,2010-11
LOCKHART ISD,28902,D,OTHER CENTRAL CITY SUBURBAN,2010-11
LOCKNEY ISD,77902,H,RURAL,2010-11
LOHN ISD,160905,H,RURAL,2010-11
LOMETA ISD,141902,H,RURAL,2010-11
LONDON ISD,178906,F,NON-METROPOLITAN FAST GROWING,2010-11
LONE OAK ISD,116906,G,NON-METROPOLITAN STABLE,2010-11
LONGVIEW ISD,92903,C,OTHER CENTRAL CITY,2010-11
LOOP ISD,83902,H,RURAL,2010-11
LORAINE ISD,168902,H,RURAL,2010-11
LORENA ISD,161907,G,NON-METROPOLITAN STABLE,2010-11
LORENZO ISD,54902,H,RURAL,2010-11
LOS FRESNOS CISD,31906,D,OTHER CENTRAL CITY SUBURBAN,2010-11
LOUISE ISD,241906,H,RURAL,2010-11
LOVEJOY ISD,43919,D,OTHER CENTRAL CITY SUBURBAN,2010-11
LOVELADY ISD,113903,H,RURAL,2010-11
LUBBOCK ISD,152901,C,OTHER CENTRAL CITY,2010-11
LUBBOCK-COOPER ISD,152906,D,OTHER CENTRAL CITY SUBURBAN,2010-11
LUEDERS-AVOCA ISD,127905,H,RURAL,2010-11
LUFKIN ISD,3903,E,INDEPENDENT TOWN,2010-11
LULING ISD,28903,E,INDEPENDENT TOWN,2010-11
LUMBERTON ISD,100907,D,OTHER CENTRAL CITY SUBURBAN,2010-11
LYFORD CISD,245902,G,NON-METROPOLITAN STABLE,2010-11
LYTLE ISD,7904,G,NON-METROPOLITAN STABLE,2010-11
MABANK ISD,129905,D,OTHER CENTRAL CITY SUBURBAN,2010-11
MADISONVILLE CISD,154901,G,NON-METROPOLITAN STABLE,2010-11
MAGNOLIA ISD,170906,D,OTHER CENTRAL CITY SUBURBAN,2010-11
MAINLAND PREPARATORY ACADEMY,84801,I,CHARTER SCHOOL DISTRICTS,2010-11
MALAKOFF ISD,107906,G,NON-METROPOLITAN STABLE,2010-11
MALONE ISD,109908,H,RURAL,2010-11
MALTA ISD,19910,H,RURAL,2010-11
MANARA ACADEMY,57844,I,CHARTER SCHOOL DISTRICTS,2010-11
MANOR ISD,227907,B,MAJOR SUBURBAN,2010-11
MANSFIELD ISD,220908,B,MAJOR SUBURBAN,2010-11
MARATHON ISD,22902,H,RURAL,2010-11
MARBLE FALLS ISD,27904,E,INDEPENDENT TOWN,2010-11
MARFA ISD,189901,H,RURAL,2010-11
MARION ISD,94904,D,OTHER CENTRAL CITY SUBURBAN,2010-11
MARLIN ISD,73903,G,NON-METROPOLITAN STABLE,2010-11
MARSHALL ISD,102902,E,INDEPENDENT TOWN,2010-11
MART ISD,161908,H,RURAL,2010-11
MARTINS MILL ISD,234905,H,RURAL,2010-11
MARTINSVILLE ISD,174909,H,RURAL,2010-11
MASON ISD,157901,H,RURAL,2010-11
MATAGORDA ISD,158904,H,RURAL,2010-11
MATHIS ISD,205904,G,NON-METROPOLITAN STABLE,2010-11
MAUD ISD,19903,H,RURAL,2010-11
MAY ISD,25905,H,RURAL,2010-11
MAYPEARL ISD,70915,D,OTHER CENTRAL CITY SUBURBAN,2010-11
MCALLEN ISD,108906,C,OTHER CENTRAL CITY,2010-11
MCCAMEY ISD,231901,H,RURAL,2010-11
MCDADE ISD,11905,H,RURAL,2010-11
MCGREGOR ISD,161909,G,NON-METROPOLITAN STABLE,2010-11
MCKINNEY ISD,43907,F,NON-METROPOLITAN FAST GROWING,2010-11
MCLEAN ISD,90903,H,RURAL,2010-11
MCLEOD ISD,34906,H,RURAL,2010-11
MCMULLEN COUNTY ISD,162904,H,RURAL,2010-11
MEADOW ISD,223902,H,RURAL,2010-11
MEADOWLAND CHARTER SCHOOL,130801,I,CHARTER SCHOOL DISTRICTS,2010-11
MEDICAL CENTER CHARTER SCHOOL,101801,I,CHARTER SCHOOL DISTRICTS,2010-11
MEDINA ISD,10901,H,RURAL,2010-11
MEDINA VALLEY ISD,163908,B,MAJOR SUBURBAN,2010-11
MELISSA ISD,43908,F,NON-METROPOLITAN FAST GROWING,2010-11
MEMPHIS ISD,96904,H,RURAL,2010-11
MENARD ISD,164901,H,RURAL,2010-11
MERCEDES ISD,108907,D,OTHER CENTRAL CITY SUBURBAN,2010-11
MERIDIAN ISD,18902,H,RURAL,2010-11
MERKEL ISD,221904,D,OTHER CENTRAL CITY SUBURBAN,2010-11
MESQUITE ISD,57914,B,MAJOR SUBURBAN,2010-11
METRO ACADEMY OF MATH AND SCIENCE,220808,I,CHARTER SCHOOL DISTRICTS,2010-11
MEXIA ISD,147903,G,NON-METROPOLITAN STABLE,2010-11
MEYERPARK ELEMENTARY,101855,I,CHARTER SCHOOL DISTRICTS,2010-11
MEYERSVILLE ISD,62906,H,RURAL,2010-11
MIAMI ISD,197902,H,RURAL,2010-11
MID-VALLEY ACADEMY,108804,I,CHARTER SCHOOL DISTRICTS,2010-11
MIDLAND ACADEMY CHARTER SCHOOL,165802,I,CHARTER SCHOOL DISTRICTS,2010-11
MIDLAND ISD,165901,C,OTHER CENTRAL CITY,2010-11
MIDLOTHIAN ISD,70908,C,OTHER CENTRAL CITY,2010-11
MIDWAY ISD,39905,H,RURAL,2010-11
MIDWAY ISD,161903,D,OTHER CENTRAL CITY SUBURBAN,2010-11
MILANO ISD,166903,H,RURAL,2010-11
MILDRED ISD,175910,E,INDEPENDENT TOWN,2010-11
MILES ISD,200902,H,RURAL,2010-11
MILFORD ISD,70909,H,RURAL,2010-11
MILLER GROVE ISD,112907,H,RURAL,2010-11
MILLSAP ISD,184904,G,NON-METROPOLITAN STABLE,2010-11
MINEOLA ISD,250903,E,INDEPENDENT TOWN,2010-11
MINERAL WELLS ISD,182903,E,INDEPENDENT TOWN,2010-11
MISSION CISD,108908,D,OTHER CENTRAL CITY SUBURBAN,2010-11
MONAHANS-WICKETT-PYOTE ISD,238902,D,OTHER CENTRAL CITY SUBURBAN,2010-11
MONTAGUE ISD,169908,H,RURAL,2010-11
MONTE ALTO ISD,108915,F,NON-METROPOLITAN FAST GROWING,2010-11
MONTGOMERY ISD,170903,D,OTHER CENTRAL CITY SUBURBAN,2010-11
MOODY ISD,161910,H,RURAL,2010-11
MORAN ISD,209902,H,RURAL,2010-11
MORGAN ISD,18903,H,RURAL,2010-11
MORGAN MILL ISD,72910,H,RURAL,2010-11
MORTON ISD,40901,H,RURAL,2010-11
MOTLEY COUNTY ISD,173901,H,RURAL,2010-11
MOULTON ISD,143902,H,RURAL,2010-11
MOUNT CALM ISD,109910,H,RURAL,2010-11
MOUNT ENTERPRISE ISD,201907,H,RURAL,2010-11
MOUNT PLEASANT ISD,225902,E,INDEPENDENT TOWN,2010-11
MOUNT VERNON ISD,80901,G,NON-METROPOLITAN STABLE,2010-11
MUENSTER ISD,49902,H,RURAL,2010-11
MULESHOE ISD,9901,G,NON-METROPOLITAN STABLE,2010-11
MULLIN ISD,167902,H,RURAL,2010-11
MUMFORD ISD,198906,H,RURAL,2010-11
MUNDAY CISD,138903,H,RURAL,2010-11
MURCHISON ISD,107908,H,RURAL,2010-11
NACOGDOCHES ISD,174904,E,INDEPENDENT TOWN,2010-11
NATALIA ISD,163903,G,NON-METROPOLITAN STABLE,2010-11
NAVARRO ISD,94903,D,OTHER CENTRAL CITY SUBURBAN,2010-11
NAVASOTA ISD,93904,E,INDEPENDENT TOWN,2010-11
NAZARETH ISD,35903,H,RURAL,2010-11
NECHES ISD,1906,H,RURAL,2010-11
NEDERLAND ISD,123905,D,OTHER CENTRAL CITY SUBURBAN,2010-11
NEEDVILLE ISD,79906,D,OTHER CENTRAL CITY SUBURBAN,2010-11
NEW BOSTON ISD,19905,G,NON-METROPOLITAN STABLE,2010-11
NEW BRAUNFELS ISD,46901,D,OTHER CENTRAL CITY SUBURBAN,2010-11
NEW CANEY ISD,170908,D,OTHER CENTRAL CITY SUBURBAN,2010-11
NEW DEAL ISD,152902,H,RURAL,2010-11
NEW DIANA ISD,230906,D,OTHER CENTRAL CITY SUBURBAN,2010-11
NEW FRONTIERS CHARTER SCHOOL,15805,I,CHARTER SCHOOL DISTRICTS,2010-11
NEW HOME ISD,153905,H,RURAL,2010-11
NEW SUMMERFIELD ISD,37908,H,RURAL,2010-11
NEW WAVERLY ISD,236901,G,NON-METROPOLITAN STABLE,2010-11
NEWCASTLE ISD,252902,H,RURAL,2010-11
NEWTON ISD,176902,G,NON-METROPOLITAN STABLE,2010-11
NIXON-SMILEY CISD,89903,G,NON-METROPOLITAN STABLE,2010-11
NOCONA ISD,169902,G,NON-METROPOLITAN STABLE,2010-11
NORDHEIM ISD,62902,H,RURAL,2010-11
NORMANGEE ISD,145906,H,RURAL,2010-11
NORTH EAST ISD,15910,A,MAJOR URBAN,2010-11
NORTH FOREST ISD,101909,B,MAJOR SUBURBAN,2010-11
NORTH HILLS PREPARATORY SCHOOL,57803,I,CHARTER SCHOOL DISTRICTS,2010-11
NORTH HOPKINS ISD,112906,H,RURAL,2010-11
NORTH LAMAR ISD,139911,E,INDEPENDENT TOWN,2010-11
NORTH ZULCH ISD,154903,H,RURAL,2010-11
NORTHSIDE ISD,15915,A,MAJOR URBAN,2010-11
NORTHSIDE ISD,244905,H,RURAL,2010-11
NORTHWEST ISD,61911,D,OTHER CENTRAL CITY SUBURBAN,2010-11
NORTHWEST PREPARATORY,101848,I,CHARTER SCHOOL DISTRICTS,2010-11
NOVA ACADEMY,57809,I,CHARTER SCHOOL DISTRICTS,2010-11
NOVA ACADEMY (SOUTHEAST),57827,I,CHARTER SCHOOL DISTRICTS,2010-11
NOVICE ISD,42906,H,RURAL,2010-11
NUECES CANYON CISD,69902,H,RURAL,2010-11
NURSERY ISD,235904,H,RURAL,2010-11
NYOS CHARTER SCHOOL,227804,I,CHARTER SCHOOL DISTRICTS,2010-11
O'DONNELL ISD,153903,H,RURAL,2010-11
OAKWOOD ISD,145907,H,RURAL,2010-11
ODEM-EDROY ISD,205905,G,NON-METROPOLITAN STABLE,2010-11
ODYSSEY ACADEMY INC,84802,I,CHARTER SCHOOL DISTRICTS,2010-11
OGLESBY ISD,50904,H,RURAL,2010-11
OLFEN ISD,200906,H,RURAL,2010-11
OLNEY ISD,252903,H,RURAL,2010-11
OLTON ISD,140905,H,RURAL,2010-11
ONALASKA ISD,187910,G,NON-METROPOLITAN STABLE,2010-11
ONE STOP MULTISERVICE CHARTER SCHO,108801,I,CHARTER SCHOOL DISTRICTS,2010-11
ORANGE GROVE ISD,125903,G,NON-METROPOLITAN STABLE,2010-11
ORANGEFIELD ISD,181905,D,OTHER CENTRAL CITY SUBURBAN,2010-11
ORE CITY ISD,230903,G,NON-METROPOLITAN STABLE,2010-11
ORENDA CHARTER SCHOOL,14804,I,CHARTER SCHOOL DISTRICTS,2010-11
OUTREACH ACADEMY,235801,I,CHARTER SCHOOL DISTRICTS,2010-11
OVERTON ISD,201908,H,RURAL,2010-11
PADUCAH ISD,51901,H,RURAL,2010-11
PAINT CREEK ISD,104907,H,RURAL,2010-11
PAINT ROCK ISD,48903,H,RURAL,2010-11
PALACIOS ISD,158905,G,NON-METROPOLITAN STABLE,2010-11
PALESTINE ISD,1907,E,INDEPENDENT TOWN,2010-11
PALMER ISD,70910,D,OTHER CENTRAL CITY SUBURBAN,2010-11
PALO PINTO ISD,182906,H,RURAL,2010-11
PAMPA ISD,90904,G,NON-METROPOLITAN STABLE,2010-11
PANHANDLE ISD,33902,H,RURAL,2010-11
PANOLA CHARTER SCHOOL,183801,I,CHARTER SCHOOL DISTRICTS,2010-11
PANTHER CREEK CISD,42905,H,RURAL,2010-11
PARADIGM ACCELERATED CHARTER SCHOO,72801,I,CHARTER SCHOOL DISTRICTS,2010-11
PARADISE ISD,249906,G,NON-METROPOLITAN STABLE,2010-11
PARIS ISD,139909,E,INDEPENDENT TOWN,2010-11
PASADENA ISD,101917,B,MAJOR SUBURBAN,2010-11
PASO DEL NORTE,71803,I,CHARTER SCHOOL DISTRICTS,2010-11
PATTON SPRINGS ISD,63906,H,RURAL,2010-11
PAWNEE ISD,13902,H,RURAL,2010-11
PEAK PREPARATORY SCHOOL,57838,I,CHARTER SCHOOL DISTRICTS,2010-11
PEARLAND ISD,20908,B,MAJOR SUBURBAN,2010-11
PEARSALL ISD,82903,G,NON-METROPOLITAN STABLE,2010-11
PEASTER ISD,184908,G,NON-METROPOLITAN STABLE,2010-11
PECOS-BARSTOW-TOYAH ISD,195901,G,NON-METROPOLITAN STABLE,2010-11
PEGASUS SCHOOL OF LIBERAL ARTS AND,57802,I,CHARTER SCHOOL DISTRICTS,2010-11
PENELOPE ISD,109914,H,RURAL,2010-11
PERRIN-WHITT CISD,119903,H,RURAL,2010-11
PERRYTON ISD,179901,G,NON-METROPOLITAN STABLE,2010-11
PETERSBURG ISD,95904,H,RURAL,2010-11
PETROLIA ISD,39903,H,RURAL,2010-11
PETTUS ISD,13903,H,RURAL,2010-11
PEWITT CISD,172905,G,NON-METROPOLITAN STABLE,2010-11
PFLUGERVILLE ISD,227904,B,MAJOR SUBURBAN,2010-11
PHARR-SAN JUAN-ALAMO ISD,108909,C,OTHER CENTRAL CITY,2010-11
PHOENIX CHARTER SCHOOL,116801,I,CHARTER SCHOOL DISTRICTS,2010-11
PILOT POINT ISD,61903,D,OTHER CENTRAL CITY SUBURBAN,2010-11
PINE TREE ISD,92904,D,OTHER CENTRAL CITY SUBURBAN,2010-11
PINEYWOODS COMMUNITY ACADEMY,3801,I,CHARTER SCHOOL DISTRICTS,2010-11
PITTSBURG ISD,32902,G,NON-METROPOLITAN STABLE,2010-11
PLAINS ISD,251902,H,RURAL,2010-11
PLAINVIEW ISD,95905,E,INDEPENDENT TOWN,2010-11
PLANO ISD,43910,B,MAJOR SUBURBAN,2010-11
PLEASANT GROVE ISD,19912,G,NON-METROPOLITAN STABLE,2010-11
PLEASANTON ISD,7905,E,INDEPENDENT TOWN,2010-11
PLEMONS-STINNETT-PHILLIPS CISD,117904,H,RURAL,2010-11
POINT ISABEL ISD,31909,D,OTHER CENTRAL CITY SUBURBAN,2010-11
PONDER ISD,61906,F,NON-METROPOLITAN FAST GROWING,2010-11
POOLVILLE ISD,184901,H,RURAL,2010-11
POR VIDA ACADEMY,15801,I,CHARTER SCHOOL DISTRICTS,2010-11
PORT ARANSAS ISD,178908,H,RURAL,2010-11
PORT ARTHUR ISD,123907,D,OTHER CENTRAL CITY SUBURBAN,2010-11
PORT NECHES-GROVES ISD,123908,D,OTHER CENTRAL CITY SUBURBAN,2010-11
POSITIVE SOLUTIONS CHARTER SCHOOL,15814,I,CHARTER SCHOOL DISTRICTS,2010-11
POST ISD,85902,H,RURAL,2010-11
POTEET ISD,7906,G,NON-METROPOLITAN STABLE,2010-11
POTH ISD,247904,G,NON-METROPOLITAN STABLE,2010-11
POTTSBORO ISD,91913,D,OTHER CENTRAL CITY SUBURBAN,2010-11
PRAIRIE LEA ISD,28906,H,RURAL,2010-11
PRAIRIE VALLEY ISD,169909,H,RURAL,2010-11
PRAIRILAND ISD,139912,G,NON-METROPOLITAN STABLE,2010-11
PREMONT ISD,125905,H,RURAL,2010-11
PRESIDIO ISD,189902,G,NON-METROPOLITAN STABLE,2010-11
PRIDDY ISD,167904,H,RURAL,2010-11
