CountyName,POWPUMA,POWPUMAType,Weight
Harris,4690,POWPUMA2K,3943416
Harrison,1300,POWPUMA2K,65631
Hartley,100,POWPUMA2K,6062
Haskell,2800,POWPUMA2K,5899
Hays,5400,POWPUMA2K,157107
Hemphill,100,POWPUMA2K,3807
Henderson,1800,POWPUMA2K,78532
Hidalgo,6600,POWPUMA2K,124153
Hidalgo,6700,POWPUMA2K,650616
Hill,1900,POWPUMA2K,35089
Hockley,400,POWPUMA2K,22935
Hood,2700,POWPUMA2K,51182
Hopkins,1000,POWPUMA2K,35161
Houston,4100,POWPUMA2K,23732
Howard,3100,POWPUMA2K,35012
Hudspeth,3400,POWPUMA2K,3476
Hunt,900,POWPUMA2K,86129
Hutchinson,100,POWPUMA2K,22150
Irion,3100,POWPUMA2K,1599
Jack,600,POWPUMA2K,9044
Jackson,6200,POWPUMA2K,14075
Jasper,1600,POWPUMA2K,35710
Jeff Davis,3400,POWPUMA2K,2342
Jefferson,4300,POWPUMA2K,118296
Jefferson,4400,POWPUMA2K,133977
Jim Hogg,6500,POWPUMA2K,5300
Jim Wells,6100,POWPUMA2K,40838
Johnson,2600,POWPUMA2K,150934
Jones,2800,POWPUMA2K,20202
Karnes,5700,POWPUMA2K,14824
Kaufman,1800,POWPUMA2K,84
Kaufman,2000,POWPUMA2K,103266
Kendall,5800,POWPUMA2K,33410
Kenedy,6500,POWPUMA2K,416
Kent,2800,POWPUMA2K,808
Kerr,5800,POWPUMA2K,49625
Kimble,3100,POWPUMA2K,4607
King,400,POWPUMA2K,286
Kinney,5900,POWPUMA2K,3598
Kleberg,6500,POWPUMA2K,32061
Knox,600,POWPUMA2K,3719
La Salle,5900,POWPUMA2K,6886
Lamar,1000,POWPUMA2K,49793
Lamb,400,POWPUMA2K,13977
Lampasas,3600,POWPUMA2K,19677
Lavaca,5000,POWPUMA2K,19263
Lee,5100,POWPUMA2K,16612
Leon,3900,POWPUMA2K,16801
Liberty,4500,POWPUMA2K,75643
Limestone,1900,POWPUMA2K,23384
Lipscomb,100,POWPUMA2K,3302
Live Oak,6100,POWPUMA2K,11531
Llano,3600,POWPUMA2K,19301
Loving,3400,POWPUMA2K,82
Lubbock,500,POWPUMA2K,278831
Lynn,400,POWPUMA2K,5915
Madison,3900,POWPUMA2K,13664
Marion,1200,POWPUMA2K,10546
Martin,3100,POWPUMA2K,4799
Mason,3100,POWPUMA2K,4012
Matagorda,5000,POWPUMA2K,36702
Maverick,5900,POWPUMA2K,54258
McCulloch,3100,POWPUMA2K,8283
McLennan,3800,POWPUMA2K,234906
McMullen,6100,POWPUMA2K,707
Medina,5700,POWPUMA2K,5
Medina,5800,POWPUMA2K,46001
Menard,3100,POWPUMA2K,2242
Midland,3200,POWPUMA2K,136872
Milam,5100,POWPUMA2K,24757
Mills,3600,POWPUMA2K,4936
Mitchell,2800,POWPUMA2K,9403
Montague,600,POWPUMA2K,19719
